Pinot Noir,Chardonnay,Cabernet Sauvignon,Red Blend,Riesling,Sauvignon Blanc,Syrah,Rose,Merlot,Nebbiolo,Zinfandel,Sangiovese,Malbec,White Blend,Sparkling Blend
cherry,lemon,black cherry,black cherry,apple,lime,blackberry,strawberry,black cherry,leather,blueberry,cherry,black currant,apple,cherry
strawberry,apple,black currant,black currant,apricot,green apple,blueberry,melon,cherry,cherry,black pepper,tomato,black cherry,pear,flower
earth,pineapple,cinnamon,cinnamon,peach,passion fruit,pepper,peach,plum,raspberry,cherry,herb,chocolate,vanilla,spice
herb,green apple,cherry,cherry,pear,white peach,vanilla,flower,vanilla,rose,plum,coffee,plum,butter,raspberry
raspberry,melon,raspberry,raspberry,nectarine,kiwi,licorice,cherry,chocolate,cranberry,cranberry,,vanilla,grapefruit,blackberry
blackberry,citrus,strawberry,strawberry,honey,guava,chocolate,raspberry,,,licorice,,tobacco,orange,citrus
mushrroom,coconut,vanilla,blackberry,jasmine,nectarine,tobacco,citrus,,,strawberry,,,ginger,lemon
,vanilla,black pepper,vanilla,lime,green bell pepper,herb,,,,tobacco,,,fig,apple
,cinnamon,green bell pepper,black pepper,pineapple,vanilla,,,,,,,,flower,pear
,,,vanilla,ginger,coconut,,,,,,,,honey,melon
,,,black pepper,petroleum,butter,,,,,,,,,
,,,green bell pepper,,,,,,,,,,,
,,,cassis,,,,,,,,,,,
,,,coffee,,,,,,,,,,,
,,,spice,,,,,,,,,,,
,,,licorice,,,,,,,,,,,
,,,earth,,,,,,,,,,,
